TOK,SHOT,PHASE,RGEO,AMIN,EPSILON,IP,BT,NEL,PL,KAPPA,DELTA,MEFF,TAUTH,RHO*,BETA,NU*,Q95,TAU_norm,SELDB5
ASDEX,6627,HSELM,1.653,0.3999,0.24192377495462794,0.2971,2.197,4.317,2.296,1.0003802293244946,1.0,1.5,0.03458,0.005093283006741809,0.004078897414089427,0.7062513973257829,4.216,0.05064817333333334,1
ASDEX,6627,HSELM,1.647,0.4021,0.24414086217364905,0.2949,2.195,4.551,2.325,0.9942095236102514,1.0,1.5,0.04083,0.005370910688486233,0.0048342950418853664,0.5897971770803124,4.36,0.05974789999999999,1
ASDEX,6627,HSELM,1.648,0.4043,0.24532766990291263,0.295,2.195,4.7,2.585,0.9888402840492438,1.0,1.5,0.03839,0.0054240890013641805,0.005147795240173888,0.5717165551381499,4.454,0.05617736666666666,1
ASDEX,6802,HSELM,1.667,0.3973,0.23833233353329333,0.2952,2.193,4.093,1.97,1.0067373258546894,1.0,1.5,0.03865,0.005167614949877793,0.00392935688907444,0.6667612722512061,4.091,0.056506299999999995,1
ASDEX,6802,HSELM,1.667,0.3977,0.23857228554289142,0.2949,2.192,4.157,1.942,1.0060582228077395,1.0,1.5,0.04198,0.005277682650709345,0.004170998757429666,0.6213113975750454,4.11,0.06134677333333334,1
ASDEX,6802,HSELM,1.665,0.3987,0.23945945945945946,0.2944,2.194,4.091,2.026,1.003560149419659,1.0,1.5,0.04019,0.005327076140841102,0.004203025923363536,0.5808259181281159,4.161,0.058784573333333326,1
ASDEX,6888,HSELM,1.673,0.4063,0.24285714285714285,0.2482,2.192,4.348,1.859,0.9846756093926163,1.0,1.5,0.04617,0.004866449136994527,0.003871416231010267,0.975230846190297,5.28,0.06746976,1
ASDEX,6888,HSELM,1.665,0.4098,0.2461261261261261,0.2458,2.192,4.206,2.037,0.9762020156019816,1.0,1.5,0.04348,0.0050559607559800285,0.004112281863831089,0.7809568557468421,5.57,0.06353877333333333,1
ASDEX,6888,HSELM,1.664,0.4112,0.24711538461538463,0.2457,2.192,4.243,2.334,0.9730296301680263,1.0,1.5,0.03853,0.0051597317667874025,0.004350065568056838,0.7150308242817127,5.666,0.05630517333333334,1
ASDEX,7121,HSELM,1.667,0.4043,0.24253149370125973,0.2959,2.201,3.581,1.71,0.9892827476593031,1.0,1.5,0.05996,0.0058565178245455676,0.004572493026255836,0.3225662698929094,4.377,0.08798130666666668,1
ASDEX,7121,H,1.67,0.4101,0.24556886227544913,0.2955,2.201,4.175,1.663,0.975463294713605,1.0,1.5,0.08684,0.006154986992367518,0.006058325545992854,0.29034785146077474,4.65,0.12742322666666667,1
ASDEX,7121,HGELM,1.663,0.4125,0.2480457005411906,0.2948,2.201,4.264,2.57,0.9694570314495908,1.0,1.5,0.05136,0.006278869184200954,0.006514637890902749,0.2655851659695939,4.821,0.07536224000000001,1
ASDEX,7124,H,1.667,0.4033,0.24193161367726454,0.2961,2.201,3.447,1.737,0.991952646499464,1.0,1.5,0.05427,0.00578527644813546,0.004273741692375445,0.3295783740694892,4.331,0.07963218,1
ASDEX,7124,HSELM,1.663,0.4091,0.24600120264582082,0.2954,2.201,4.044,2.199,0.9774472665363692,1.0,1.5,0.05507,0.006131399564845772,0.005794976146095213,0.2869111634641536,4.631,0.08080604666666667,1
